NUTS_LEVEL3_ID,NUTS_LEVEL0_ID,FOREST_ZONE
FRB05,FR,Central-West Europe
FRB06,FR,Central-West Europe
FRC11,FR,Central-West Europe
FRC12,FR,Central-West Europe
FRC13,FR,Central-West Europe
FRC14,FR,Central-West Europe
FRC21,FR,Central-West Europe
FRC22,FR,Central-West Europe
FRC23,FR,Central-West Europe
FRC24,FR,Central-West Europe
FRD11,FR,Central-West Europe
FRD12,FR,Central-West Europe
FRD13,FR,Central-West Europe
FRD21,FR,Central-West Europe
FRD22,FR,Central-West Europe
FRE11,FR,Central-West Europe
FRE12,FR,Central-West Europe
FRE21,FR,Central-West Europe
FRE22,FR,Central-West Europe
FRE23,FR,Central-West Europe
FRF11,FR,Central-West Europe
FRF12,FR,Central-West Europe
FRF21,FR,Central-West Europe
FRF22,FR,Central-West Europe
FRF23,FR,Central-West Europe
FRF24,FR,Central-West Europe
FRF31,FR,Central-West Europe
FRF32,FR,Central-West Europe
FRF33,FR,Central-West Europe
FRF34,FR,Central-West Europe
FRG01,FR,Central-West Europe
FRG02,FR,Central-West Europe
FRG03,FR,Central-West Europe
FRG04,FR,Central-West Europe
FRG05,FR,Central-West Europe
FRH01,FR,Central-West Europe
FRH02,FR,Central-West Europe
FRH03,FR,Central-West Europe
FRH04,FR,Central-West Europe
FRI11,FR,Central-West Europe
FRI12,FR,Central-West Europe
FRI13,FR,Central-West Europe
FRI14,FR,Central-West Europe
FRI15,FR,Central-West Europe
FRI21,FR,Central-West Europe
FRI22,FR,Central-West Europe
FRI23,FR,Central-West Europe
FRI31,FR,Central-West Europe
FRI32,FR,Central-West Europe
FRI33,FR,Central-West Europe
FRI34,FR,Central-West Europe
FRJ11,FR,Central-West Europe
FRJ12,FR,Central-West Europe
FRY10,FR,Central-West Europe
FRY20,FR,Central-West Europe
FRY30,FR,Central-West Europe
FRY40,FR,Central-West Europe
FRY50,FR,Central-West Europe
DE254,DE,Central-West Europe
DE255,DE,Central-West Europe
DE256,DE,Central-West Europe
DE257,DE,Central-West Europe
DE258,DE,Central-West Europe
DE259,DE,Central-West Europe
DE25A,DE,Central-West Europe
DE25B,DE,Central-West Europe
DE25C,DE,Central-West Europe
DE261,DE,Central-West Europe
DE262,DE,Central-West Europe
DE263,DE,Central-West Europe
DE264,DE,Central-West Europe
DE265,DE,Central-West Europe
DE266,DE,Central-West Europe
DE267,DE,Central-West Europe
DE268,DE,Central-West Europe
DE269,DE,Central-West Europe
DE26A,DE,Central-West Europe
DE26B,DE,Central-West Europe
DE26C,DE,Central-West Europe
DE271,DE,Central-West Europe
DE272,DE,Central-West Europe
DE273,DE,Central-West Europe
DE274,DE,Central-West Europe
DE111,DE,Central-West Europe
DE112,DE,Central-West Europe
DE113,DE,Central-West Europe
DE114,DE,Central-West Europe
DE115,DE,Central-West Europe
DE116,DE,Central-West Europe
DE117,DE,Central-West Europe
DE118,DE,Central-West Europe
DE119,DE,Central-West Europe
DE11A,DE,Central-West Europe
DE11B,DE,Central-West Europe
DE11C,DE,Central-West Europe
DE11D,DE,Central-West Europe
DE121,DE,Central-West Europe
DE122,DE,Central-West Europe
DE123,DE,Central-West Europe
DE124,DE,Central-West Europe
DE125,DE,Central-West Europe
DE126,DE,Central-West Europe
DE234,DE,Central-West Europe
DE235,DE,Central-West Europe
DE236,DE,Central-West Europe
DE237,DE,Central-West Europe
DE238,DE,Central-West Europe
DE239,DE,Central-West Europe
DE23A,DE,Central-West Europe
DE241,DE,Central-West Europe
DE242,DE,Central-West Europe
DE243,DE,Central-West Europe
DE244,DE,Central-West Europe
DE245,DE,Central-West Europe
DE246,DE,Central-West Europe
DE247,DE,Central-West Europe
DE248,DE,Central-West Europe
DE249,DE,Central-West Europe
DE24A,DE,Central-West Europe
DE24B,DE,Central-West Europe
DE24C,DE,Central-West Europe
DE24D,DE,Central-West Europe
DE251,DE,Central-West Europe
DE252,DE,Central-West Europe
DE253,DE,Central-West Europe
DEA16,DE,Central-West Europe
DEA17,DE,Central-West Europe
DEA18,DE,Central-West Europe
DEA19,DE,Central-West Europe
DEA1A,DE,Central-West Europe
DEA1B,DE,Central-West Europe
DE127,DE,Central-West Europe
DE128,DE,Central-West Europe
DE129,DE,Central-West Europe
DE12A,DE,Central-West Europe
DE12B,DE,Central-West Europe
DE12C,DE,Central-West Europe
DE131,DE,Central-West Europe
DE132,DE,Central-West Europe
DE133,DE,Central-West Europe
DE134,DE,Central-West Europe
DE135,DE,Central-West Europe
DE136,DE,Central-West Europe
DE137,DE,Central-West Europe
DE138,DE,Central-West Europe
DE139,DE,Central-West Europe
DE13A,DE,Central-West Europe
DE141,DE,Central-West Europe
DE142,DE,Central-West Europe
DE143,DE,Central-West Europe
DE144,DE,Central-West Europe
DE145,DE,Central-West Europe
DE146,DE,Central-West Europe
DE147,DE,Central-West Europe
DE148,DE,Central-West Europe
DE149,DE,Central-West Europe
DE211,DE,Central-West Europe
DE212,DE,Central-West Europe
DE213,DE,Central-West Europe
DE214,DE,Central-West Europe
DE215,DE,Central-West Europe
DE216,DE,Central-West Europe
DE217,DE,Central-West Europe
DE218,DE,Central-West Europe
DE219,DE,Central-West Europe
DE21A,DE,Central-West Europe
DE21B,DE,Central-West Europe
DE21C,DE,Central-West Europe
DE21D,DE,Central-West Europe
DE21E,DE,Central-West Europe
DE21F,DE,Central-West Europe
DE21G,DE,Central-West Europe
DE21H,DE,Central-West Europe
DE21I,DE,Central-West Europe
DE21J,DE,Central-West Europe
DE21K,DE,Central-West Europe
DE21L,DE,Central-West Europe
DE21M,DE,Central-West Europe
DE21N,DE,Central-West Europe
DE221,DE,Central-West Europe
DE222,DE,Central-West Europe
DE223,DE,Central-West Europe
DE224,DE,Central-West Europe
DE225,DE,Central-West Europe
DE226,DE,Central-West Europe
DE227,DE,Central-West Europe
DE228,DE,Central-West Europe
DE229,DE,Central-West Europe
DE22A,DE,Central-West Europe
DE22B,DE,Central-West Europe
DE22C,DE,Central-West Europe
DE231,DE,Central-West Europe
DE232,DE,Central-West Europe
DE233,DE,Central-West Europe
DEE0B,DE,Central-West Europe
DEE0C,DE,Central-West Europe
DEE0D,DE,Central-West Europe
DEE0E,DE,Central-West Europe
DEF01,DE,Central-West Europe
DEF02,DE,Central-West Europe
DEF03,DE,Central-West Europe
DEF04,DE,Central-West Europe
DEF05,DE,Central-West Europe
DED51,DE,Central-West Europe
DED52,DE,Central-West Europe
DED53,DE,Central-West Europe
DEE01,DE,Central-West Europe
DEE02,DE,Central-West Europe
DEE03,DE,Central-West Europe
DEE04,DE,Central-West Europe
DEE05,DE,Central-West Europe
DEE06,DE,Central-West Europe
DEE07,DE,Central-West Europe
DEE08,DE,Central-West Europe
DEE09,DE,Central-West Europe
DEE0A,DE,Central-West Europe
DEF06,DE,Central-West Europe
DEF07,DE,Central-West Europe
DEF08,DE,Central-West Europe
DEF09,DE,Central-West Europe
DEF0A,DE,Central-West Europe
DEF0B,DE,Central-West Europe
DEF0C,DE,Central-West Europe
DEF0D,DE,Central-West Europe
DEF0E,DE,Central-West Europe
